,carat,depth,table,price,x,y,z
50111,0.7,62.8,58.0,2209,5.64,5.69,3.56
30067,0.32,59.8,57.0,720,4.46,4.43,2.66
4211,0.73,60.2,61.0,3567,5.83,5.89,3.53
12314,1.0,62.7,57.0,5221,6.44,6.38,4.02
51802,0.7,62.4,61.0,2415,5.75,5.6,3.54
35939,0.41,63.1,57.0,920,4.73,4.68,2.97
21211,1.29,62.4,58.0,9354,6.89,6.86,4.29
37076,0.41,62.6,55.0,969,4.78,4.74,2.98
17414,1.51,63.5,58.0,6976,7.29,7.24,4.61
39748,0.5,60.9,57.0,1094,5.15,5.1,3.12
19952,1.53,61.9,57.0,8499,7.42,7.34,4.57
49560,0.67,59.4,59.4,2131,5.71,5.8,3.41
44856,0.5,63.4,57.0,1627,5.05,5.08,3.21
35206,0.33,62.0,58.0,891,4.46,4.44,2.76
15111,1.0,62.7,57.0,6073,6.34,6.38,3.99
42921,0.53,64.5,53.0,1363,5.16,5.15,3.33
10353,0.91,64.5,58.0,4770,6.14,6.1,3.95
50761,0.79,60.8,56.0,2300,5.98,6.02,3.65
42981,0.41,62.3,55.0,1367,4.75,4.78,2.97
655,0.79,62.5,57.0,2844,5.91,5.93,3.7
39413,0.41,62.0,56.0,1076,4.81,4.77,2.97
49677,0.9,64.3,58.0,2143,6.09,6.05,3.9
8236,0.85,61.8,55.0,4373,6.09,6.11,3.77
9048,0.28,63.1,55.0,588,4.18,4.15,2.63
9136,1.1,62.0,55.0,4537,6.6,6.62,4.1
30283,0.34,60.0,62.0,447,4.51,4.55,2.72
28795,0.27,61.8,56.0,682,4.19,4.2,2.6
2804,0.91,62.5,56.0,3262,6.3,6.18,3.9
45204,0.51,62.7,56.0,1656,5.08,5.13,3.2
18569,1.02,62.8,55.0,7574,6.45,6.41,4.04
19759,1.11,61.2,58.0,8329,6.69,6.65,4.08
18495,1.03,61.7,56.0,7533,6.45,6.54,4.01
38816,0.31,63.0,58.0,1046,4.32,4.29,2.71
51189,0.7,61.7,61.0,2348,5.7,5.67,3.51
53437,0.7,60.9,59.0,2673,5.68,5.71,3.47
34381,0.41,61.9,57.0,863,4.78,4.82,2.97
4733,0.3,62.2,55.0,573,4.3,4.32,2.68
34314,0.43,63.3,57.0,858,4.82,4.79,3.04
20471,1.04,60.7,58.0,8813,6.65,6.52,4.0
11452,1.01,62.3,56.0,5006,6.42,6.38,3.99
931,0.72,61.8,56.0,2883,5.75,5.81,3.57
33290,0.31,62.5,55.0,462,4.3,4.34,2.7
47849,0.53,62.6,59.0,1909,5.19,5.25,3.27
1923,0.86,61.3,59.0,3082,6.17,6.1,3.76
42078,0.52,57.9,61.0,1273,5.28,5.33,3.07
34553,0.41,61.1,56.0,870,4.79,4.83,2.94
23876,1.73,62.4,58.0,11969,7.61,7.64,4.76
48135,0.5,61.3,57.0,1940,5.15,5.07,3.13
10004,0.91,61.0,57.0,4706,6.27,6.32,3.84
51150,1.02,57.4,59.0,2344,6.64,6.6,3.8
19117,1.01,63.3,57.0,7885,6.31,6.36,4.01
4345,0.78,61.7,55.0,3601,5.92,6.0,3.68
36744,0.41,61.3,61.0,954,4.77,4.79,2.93
36162,0.38,62.2,54.3,929,4.63,4.66,2.89
19340,1.02,61.1,57.0,8042,6.51,6.48,3.97
20746,1.24,61.7,53.0,8983,6.93,6.9,4.27
43691,0.5,63.2,58.0,1436,5.0,5.03,3.17
43872,0.51,61.9,55.0,1450,5.07,5.1,3.15
19299,1.07,59.7,61.0,8015,6.69,6.64,3.98
31141,0.38,62.1,54.0,755,4.64,4.67,2.9
50889,0.59,61.7,56.0,2317,5.42,5.48,3.36
27188,2.18,61.0,60.0,17475,8.29,8.33,5.07
2684,0.77,60.9,55.0,3243,5.9,5.96,3.61
48678,0.51,62.6,57.0,2005,5.08,5.14,3.2
1197,0.71,62.0,54.0,2934,5.77,5.74,3.57
4339,0.9,64.0,57.0,3601,6.11,6.14,3.92
33828,0.32,61.9,54.0,843,4.41,4.44,2.74
30812,0.38,61.6,55.0,743,4.67,4.71,2.89
30710,0.33,61.3,55.0,738,4.46,4.5,2.75
44882,0.5,61.3,56.0,1629,5.16,5.11,3.15
10477,0.93,62.1,59.0,4793,6.21,6.16,3.84
23552,1.7,63.6,59.0,11560,7.46,7.55,4.77
1810,1.01,66.1,58.0,3054,6.21,6.04,4.05
33661,0.36,61.4,54.0,835,4.59,4.63,2.83
23553,1.55,62.6,58.0,11562,7.4,7.34,4.61
42631,0.53,64.1,54.0,1332,5.11,5.16,3.29
47030,0.57,60.8,56.0,1819,5.4,5.35,3.27
25381,1.3,59.3,59.0,14068,7.11,7.08,4.22
31105,0.41,61.4,57.0,753,4.76,4.79,2.93
30727,0.33,61.1,56.0,739,4.46,4.48,2.73
12368,0.26,59.9,58.0,597,4.17,4.18,2.5
14887,1.01,63.1,57.0,5995,6.38,6.33,4.01
32385,0.32,62.2,56.0,790,4.37,4.41,2.73
31581,0.35,61.6,55.0,767,4.49,4.54,2.78
40536,0.51,62.1,56.0,1148,5.1,5.13,3.18
25864,2.01,61.2,58.0,14948,8.07,8.05,4.93
48736,0.78,61.9,54.0,2012,5.89,5.85,3.63
30276,0.23,63.8,57.0,447,3.93,3.84,2.48
51742,0.71,61.9,57.0,2404,5.72,5.79,3.56
36922,0.41,61.4,55.0,961,4.8,4.78,2.94
53881,0.72,62.6,53.0,2746,5.76,5.78,3.61
8032,1.0,61.6,62.0,4333,6.37,6.3,3.9
8038,0.78,62.1,55.0,4336,5.9,5.95,3.68
8753,1.03,61.4,54.0,4466,6.52,6.57,4.02
24708,0.38,61.9,56.0,639,4.64,4.67,2.88
11456,1.02,60.4,59.0,5008,6.52,6.55,3.95
1477,0.75,62.2,57.0,2985,5.82,5.86,3.63
9527,1.02,63.0,58.0,4617,6.34,6.4,4.01
26030,0.32,61.2,56.0,645,4.42,4.44,2.71
8875,1.04,58.9,63.0,4484,6.59,6.55,3.87
32700,0.31,62.0,56.0,802,4.39,4.35,2.71
5480,0.81,62.8,57.0,3839,5.9,5.95,3.72
30231,0.33,62.3,57.0,723,4.4,4.43,2.75
27521,2.52,58.5,59.0,18252,8.9,8.87,5.2
20073,1.51,64.1,61.0,8550,7.14,7.18,4.59
45381,0.5,62.9,58.0,1666,5.09,5.05,3.19
11209,1.15,62.9,56.0,4959,6.7,6.59,4.18
29452,0.3,61.5,62.0,702,4.28,4.34,2.65
14187,0.9,63.0,58.0,5757,6.11,6.15,3.86
14667,1.51,66.9,57.0,5919,7.13,7.09,4.75
2259,0.9,63.9,60.0,3153,6.07,6.11,3.89
31767,0.32,60.7,56.0,773,4.46,4.43,2.7
53860,0.71,60.9,59.0,2743,5.72,5.71,3.48
29356,0.31,63.1,58.0,698,4.35,4.3,2.73
37665,0.42,61.5,55.0,992,4.9,4.82,2.99
27505,2.09,62.9,57.0,18215,8.09,8.13,5.1
11580,1.2,65.0,59.0,5040,6.51,6.57,4.25
33613,0.31,60.4,58.0,462,4.39,4.42,2.66
13876,1.04,62.8,57.0,5650,6.5,6.43,4.06
26366,0.32,60.9,56.0,645,4.41,4.45,2.7
38954,0.31,61.9,58.0,489,4.37,4.39,2.71
1614,0.8,63.9,56.0,3013,5.84,5.87,3.74
53123,0.74,63.1,57.0,2617,5.8,5.76,3.65
22589,1.02,60.2,60.0,10641,6.39,6.54,3.89
35885,0.32,61.7,56.0,918,4.39,4.42,2.72
32773,0.34,61.2,58.0,803,4.49,4.47,2.74
7529,1.01,59.9,59.0,4242,6.55,6.48,3.9
696,0.79,60.0,60.0,2853,6.07,6.03,3.63
10014,1.14,61.7,54.0,4708,6.71,6.74,4.15
13225,1.01,62.1,56.0,5461,6.43,6.48,4.01
9978,1.32,60.8,58.0,4704,7.03,7.11,4.3
9070,1.09,63.0,56.0,4519,6.61,6.57,4.15
21533,1.22,62.2,57.0,9633,6.85,6.81,4.25
23950,1.6,62.5,58.0,12084,7.47,7.37,4.64
3094,0.79,59.3,57.0,3318,6.06,6.02,3.58
16949,1.5,63.3,57.0,6770,7.27,7.21,4.59
35360,0.38,61.3,60.0,898,4.65,4.62,2.84
53548,0.71,61.7,59.0,2693,5.7,5.74,3.53
37303,0.7,68.3,56.0,978,5.52,5.4,3.73
24619,1.51,60.8,66.0,12948,7.35,7.25,4.44
18633,1.01,62.5,58.0,7602,6.42,6.37,4.0
17029,1.11,61.1,57.0,6800,6.64,6.72,4.08
2224,0.71,60.1,59.0,3145,5.79,5.83,3.49
10683,1.01,62.7,57.0,4843,6.36,6.39,4.0
8249,1.24,62.8,58.0,4375,6.88,6.79,4.28
18002,1.06,59.6,60.0,7280,6.71,6.68,3.99
35079,0.3,62.5,56.0,886,4.27,4.3,2.68
43247,0.42,60.4,55.0,1400,4.85,4.86,2.93
49166,0.71,63.6,60.0,2072,5.64,5.61,3.58
14891,1.29,62.0,58.0,5996,7.03,6.97,4.34
51724,0.7,60.3,56.0,2401,5.73,5.77,3.47
22459,1.6,59.4,59.0,10483,7.61,7.55,4.5
35860,0.4,61.6,55.0,917,4.74,4.78,2.93
43289,0.31,61.2,56.0,507,4.36,4.4,2.68
28807,0.42,61.5,56.0,682,4.83,4.79,2.96
6624,0.64,61.8,54.0,4084,5.54,5.56,3.43
45873,0.51,60.9,58.0,1716,5.18,5.14,3.14
29780,0.3,62.5,60.0,709,4.27,4.24,2.66
20508,1.7,61.5,58.0,8840,7.74,7.64,4.73
2883,0.84,62.4,57.0,3279,6.06,6.03,3.77
11329,1.5,62.4,64.0,4989,7.22,7.26,4.52
49374,0.54,61.1,58.0,2100,5.3,5.24,3.22
41107,0.59,61.7,54.0,1195,5.4,5.46,3.35
16891,1.2,62.5,56.0,6742,6.75,6.71,4.21
35243,0.4,63.1,56.0,895,4.68,4.7,2.96
16662,1.56,61.4,58.0,6662,7.4,7.45,4.56
6517,0.92,62.0,54.0,4065,6.26,6.32,3.9
49790,0.73,60.8,58.0,2163,5.82,5.85,3.55
18527,1.03,60.2,54.0,7550,6.64,6.61,3.99
18758,1.2,63.8,60.0,7666,6.6,6.65,4.23
5576,1.21,65.6,56.0,3862,6.69,6.59,4.36
11625,1.13,60.1,60.0,5050,6.77,6.73,4.06
35764,0.4,62.0,57.0,912,4.66,4.7,2.9
6155,0.9,62.0,63.0,3990,6.06,6.13,3.78
10664,1.2,65.2,58.0,4838,6.67,6.58,4.32
9174,1.0,59.4,60.0,4543,6.48,6.56,3.87
30702,0.3,62.4,58.0,737,4.25,4.28,2.66
10222,0.97,61.6,56.0,4743,6.31,6.39,3.91
24140,1.54,61.1,59.0,12308,7.44,7.4,4.53
42858,0.53,59.1,59.0,1356,5.33,5.26,3.13
47215,0.5,62.5,58.0,1838,5.1,5.05,3.17
6709,0.27,62.0,54.5,412,4.15,4.19,2.58
19024,0.27,61.0,57.0,620,4.2,4.22,2.57
20913,1.34,60.7,59.0,9127,7.04,7.07,4.28
1321,0.7,60.1,58.0,2959,5.73,5.79,3.46
24434,2.54,61.4,54.0,12687,8.83,8.78,5.41
1856,0.77,61.4,56.0,3066,5.9,5.93,3.63
12898,1.2,61.1,57.0,5373,6.86,6.89,4.2
43913,0.31,63.2,56.0,512,4.27,4.31,2.71
26924,2.5,61.9,57.0,16955,8.7,8.68,5.38
7693,1.14,62.1,55.0,4276,6.71,6.72,4.17
92,0.7,61.6,56.0,2757,5.7,5.67,3.5
28897,0.3,61.2,59.0,684,4.31,4.35,2.65
29251,0.41,62.4,56.0,698,4.75,4.77,2.97
49596,0.71,61.9,58.0,2137,5.72,5.75,3.55
11729,0.34,60.8,59.0,596,4.48,4.53,2.74
22102,1.52,61.9,57.0,10129,7.37,7.33,4.55
36433,0.31,61.8,57.0,942,4.38,4.36,2.7
41818,0.43,61.9,56.0,1250,4.87,4.82,3.0
9012,1.01,61.3,58.0,4513,6.47,6.39,3.94
50040,0.9,61.9,59.0,2199,6.16,6.18,3.82
18616,1.06,60.7,56.0,7594,6.6,6.64,4.02
36057,0.31,61.7,54.0,924,4.33,4.36,2.68
24023,2.0,62.2,59.0,12196,7.92,7.97,4.94
49510,0.7,63.8,58.0,2121,5.56,5.67,3.58
12911,1.0,65.0,58.0,5376,6.21,6.16,4.02
42161,0.51,63.2,58.0,1284,5.05,5.08,3.2
16153,1.04,61.6,55.0,6458,6.51,6.54,4.02
38922,0.51,58.1,59.0,1052,5.26,5.24,3.05
33549,0.31,61.8,59.0,830,4.33,4.36,2.69
42315,0.41,61.8,58.0,1295,4.75,4.79,2.95
10680,1.11,58.4,60.0,4842,6.87,6.83,4.0
27365,0.28,61.1,60.0,646,4.17,4.21,2.56
45489,0.53,63.5,59.0,1678,5.17,5.13,3.27
13989,1.01,62.4,58.0,5696,6.37,6.41,3.99
44967,0.53,63.4,58.0,1636,5.15,5.11,3.25
15799,1.12,62.1,57.0,6322,6.63,6.6,4.11
15205,1.01,62.4,56.0,6108,6.41,6.37,3.99
41720,0.41,61.6,56.0,1243,4.8,4.78,2.95
574,0.7,60.7,57.0,2833,5.73,5.75,3.49
721,0.26,62.1,56.0,556,4.09,4.12,2.55
39572,0.44,61.3,60.0,1081,4.88,4.94,3.01
11375,0.34,62.1,55.0,596,4.47,4.51,2.79
27169,2.01,61.1,60.0,17433,8.06,8.12,4.94
10827,1.23,63.1,57.6,4870,6.74,6.8,4.27
7174,1.0,59.9,63.0,4184,6.45,6.5,3.88
27763,0.32,60.6,58.0,648,4.47,4.44,2.7
19146,1.2,62.6,59.0,7909,6.71,6.75,4.21
2410,0.81,63.9,58.0,3179,5.9,5.85,3.75
2814,0.7,60.7,58.0,3265,5.72,5.75,3.48
14693,1.0,59.9,56.0,5929,6.51,6.54,3.91
25186,1.51,62.0,62.0,13771,7.35,7.23,4.52
6356,1.0,63.4,58.0,4036,6.31,6.25,3.98
17281,1.26,60.6,56.0,6922,7.05,6.98,4.25
24481,1.5,64.2,55.0,12754,7.17,7.22,4.62
25693,0.4,62.6,54.0,644,4.68,4.71,2.94
11516,1.01,62.5,59.0,5022,6.33,6.41,3.98
15771,1.56,61.4,58.0,6306,7.38,7.43,4.55
35726,0.3,62.2,55.0,911,4.33,4.29,2.68
40657,0.54,63.3,57.0,1154,5.15,5.22,3.28
49664,0.62,61.8,57.0,2141,5.47,5.5,3.39
45946,0.56,61.9,58.0,1723,5.27,5.33,3.28
15592,1.05,61.3,57.0,6255,6.51,6.54,4.0
9192,0.9,60.4,61.0,4547,6.23,6.32,3.79
49558,0.6,62.2,56.0,2130,5.39,5.42,3.36
40078,0.33,61.5,55.0,1114,4.47,4.44,2.74
9173,1.0,63.3,60.0,4543,6.24,6.33,3.98
8085,1.01,62.8,59.0,4338,6.33,6.29,3.96
36777,0.3,61.5,57.0,956,4.35,4.33,2.67
30622,0.3,62.9,59.0,447,4.24,4.28,2.68
37955,0.41,62.2,56.0,1007,4.75,4.8,2.97
42662,0.39,61.3,56.0,1333,4.71,4.75,2.9
26655,2.13,57.9,60.0,16462,8.41,8.56,4.91
23715,0.25,60.1,57.0,633,4.1,4.13,2.47
17932,1.2,62.8,57.0,7243,6.78,6.72,4.24
31406,0.3,61.7,57.0,764,4.32,4.34,2.67
45300,0.31,63.2,55.0,523,4.33,4.31,2.73
29692,0.31,60.8,56.0,707,4.38,4.4,2.67
53361,0.7,61.6,57.0,2657,5.76,5.71,3.53
778,0.83,59.2,60.0,2859,6.17,6.12,3.64
18967,1.01,61.7,57.0,7805,6.42,6.39,3.95
32892,0.36,62.1,56.0,810,4.59,4.56,2.84
48462,0.61,58.7,64.0,1976,5.53,5.5,3.24
13543,1.13,61.4,61.0,5548,6.67,6.71,4.11
17632,1.63,62.0,55.1,7100,7.5,7.57,4.68
29451,0.33,61.9,56.0,702,4.46,4.49,2.77
13484,1.2,62.4,57.0,5535,6.75,6.8,4.23
3249,0.89,60.2,60.0,3356,6.18,6.21,3.73
18012,1.07,61.5,56.0,7286,6.58,6.62,4.06
41985,0.51,62.0,58.0,1264,5.08,5.12,3.16
3980,1.0,65.5,57.0,3511,6.26,6.21,4.08
4774,0.77,62.6,55.0,3692,5.85,5.88,3.67
5378,0.34,61.8,57.0,574,4.51,4.46,2.77
19542,1.59,62.4,55.0,8176,7.45,7.48,4.66
21368,0.36,62.0,54.0,626,4.58,4.61,2.85
3570,0.7,58.4,61.0,3419,5.85,5.89,3.43
8820,1.04,58.7,62.0,4477,6.67,6.65,3.91
35581,0.35,62.2,55.0,906,4.53,4.48,2.8
13094,1.09,61.9,56.0,5421,6.62,6.67,4.09
2128,0.71,60.0,56.0,3122,5.85,5.78,3.49
22607,1.53,61.0,61.0,10659,7.45,7.4,4.53
5507,1.01,61.7,58.0,3846,6.46,6.41,3.97
3800,1.0,62.1,56.0,3465,6.34,6.41,3.96
31747,0.44,61.6,61.0,772,4.83,4.88,2.99
23117,1.67,59.4,61.0,11146,7.73,7.78,4.61
6649,0.9,59.8,58.0,4092,6.26,6.21,3.73
18281,1.3,62.2,58.0,7426,6.93,6.83,4.28
39180,0.35,61.5,56.0,1063,4.55,4.53,2.79
21894,1.61,61.6,56.0,9961,7.54,7.62,4.67
45397,0.51,61.1,56.0,1668,5.17,5.2,3.17
24828,1.53,58.9,59.0,13225,7.58,7.61,4.47
21574,1.06,63.4,55.0,9680,6.46,6.51,4.11
15188,1.21,58.8,60.0,6098,6.99,6.95,4.1
10007,0.9,62.2,56.0,4707,6.12,6.17,3.82
832,0.95,58.4,57.0,2867,6.49,6.41,3.77
49947,0.58,62.6,56.0,2189,5.37,5.27,3.33
53307,0.3,62.3,59.0,552,4.22,4.25,2.64
7017,1.0,63.7,58.0,4158,6.29,6.34,4.02
23506,1.7,60.6,59.0,11514,7.64,7.67,4.64
41552,0.53,62.5,56.0,1236,5.15,5.19,3.23
4163,0.75,61.1,55.0,3551,5.85,5.9,3.59
8570,1.1,62.7,58.0,4435,6.58,6.54,4.11
14997,1.35,61.0,60.0,6041,7.09,7.15,4.34
8307,0.96,59.1,58.0,4388,6.53,6.44,3.83
8384,0.35,62.2,56.0,583,4.48,4.52,2.8
35497,0.41,63.1,59.0,904,4.75,4.7,2.98
18802,1.71,60.8,57.0,7695,7.69,7.64,4.66
18647,1.03,59.0,55.0,7613,6.62,6.67,3.92
29623,0.26,63.4,55.0,440,4.05,4.06,2.57
17657,1.0,62.6,58.0,7114,6.37,6.4,4.0
20309,1.1,60.4,57.0,8724,6.7,6.77,4.07
9616,1.01,65.5,57.0,4634,6.12,6.22,4.04
13171,1.2,63.4,60.0,5445,6.56,6.65,4.19
17891,1.24,62.6,54.0,7222,6.88,6.84,4.29
10409,0.31,61.7,55.0,593,4.38,4.37,2.7
46660,0.51,61.9,55.0,1787,5.11,5.13,3.17
52440,0.71,62.1,54.0,2513,5.72,5.75,3.56
6865,0.9,61.5,56.0,4128,6.25,6.2,3.83
50342,0.58,61.9,63.0,2243,5.27,5.33,3.28
42192,0.5,59.1,58.0,1286,5.23,5.19,3.08
17774,1.13,61.6,57.0,7159,6.68,6.7,4.12
42559,0.42,62.5,57.0,1326,4.77,4.8,2.99
37068,0.48,61.4,56.0,969,5.02,5.07,3.1
551,0.97,60.7,56.0,2830,6.41,6.43,3.9
34018,0.4,60.8,58.0,849,4.75,4.83,2.91
28372,0.38,61.5,56.0,668,4.67,4.7,2.88
17598,1.48,61.3,58.0,7086,7.39,7.32,4.51
10531,1.01,63.6,56.0,4805,6.38,6.33,4.04
19878,1.12,57.9,57.0,8430,6.86,6.83,3.96
27350,2.08,62.0,56.0,17916,8.16,8.18,5.06
50885,0.72,61.3,56.0,2316,5.79,5.76,3.54
42885,0.58,62.4,58.0,1359,5.32,5.35,3.33
13085,1.03,61.1,56.0,5418,6.5,6.53,3.98
28428,0.3,60.6,58.0,670,4.31,4.33,2.62
40420,0.5,67.1,58.0,1134,4.94,4.89,3.3
40638,0.41,62.8,58.0,1153,4.72,4.7,2.96
17472,1.01,61.9,54.0,7014,6.45,6.49,4.0
8322,1.13,62.9,57.7,4391,6.6,6.64,4.16
2219,0.84,63.6,57.0,3145,5.95,6.0,3.8
49448,0.51,61.0,57.0,2111,5.17,5.16,3.15
35968,0.3,62.3,58.0,477,4.26,4.28,2.66
5260,1.19,60.3,57.0,3794,6.83,6.93,4.15
13957,1.16,64.0,58.0,5678,6.63,6.56,4.22
12238,1.04,62.4,57.0,5199,6.44,6.48,4.03
22178,1.55,59.7,66.0,10217,7.59,7.47,4.49
1900,0.83,62.7,56.0,3078,6.01,5.98,3.76
27233,2.0,63.3,59.0,17600,7.96,8.03,5.06
44986,0.31,60.5,57.0,523,4.4,4.36,2.65
49045,0.71,63.4,54.0,2056,5.6,5.67,3.57
26782,1.52,59.9,60.0,16628,7.39,7.47,4.45
15641,1.0,61.6,58.0,6272,6.44,6.42,3.96
50122,0.57,61.0,57.0,2210,5.35,5.38,3.27
21745,1.0,59.1,58.0,9815,6.5,6.57,3.86
49891,0.54,61.5,56.0,2177,5.28,5.25,3.24
19473,1.11,61.4,57.0,8112,6.68,6.65,4.09
27573,2.02,62.7,58.0,18398,7.96,8.01,5.01
19507,1.6,62.2,55.0,8138,7.46,7.53,4.66
39801,0.38,62.1,55.0,1096,4.66,4.71,2.91
50793,0.72,63.9,58.0,2305,5.72,5.64,3.63
35998,0.42,60.5,59.0,921,4.79,4.83,2.91
4771,1.1,61.3,57.0,3690,6.68,6.62,4.08
20051,0.31,62.9,58.0,625,4.3,4.35,2.72
30521,0.32,61.3,55.0,733,4.46,4.38,2.71
41456,0.52,61.8,54.0,1229,5.18,5.15,3.19
26401,2.01,62.1,60.0,15919,7.96,8.01,4.96
19348,1.88,57.9,59.0,8048,8.16,8.11,4.71
35808,0.31,62.1,54.0,914,4.33,4.37,2.7
32623,0.31,63.9,55.0,457,4.28,4.3,2.74
16102,1.31,61.9,59.0,6438,7.02,6.98,4.33
36423,0.31,61.5,56.0,942,4.41,4.37,2.7
52609,0.75,60.9,58.0,2545,5.84,5.88,3.57
4888,0.9,62.3,56.0,3718,6.14,6.21,3.85
40423,0.7,63.8,60.0,1134,5.64,5.45,3.54
21453,1.52,62.1,58.0,9552,7.26,7.34,4.53
15936,1.05,62.9,57.0,6373,6.39,6.51,4.06
9608,1.02,61.5,56.0,4633,6.47,6.51,3.99
4470,0.8,62.3,54.0,3622,5.95,5.97,3.71
49412,0.7,58.6,60.0,2106,5.79,5.91,3.43
33450,0.32,62.0,56.0,828,4.39,4.35,2.71
21286,1.57,60.2,58.0,9443,7.51,7.57,4.54
15522,1.01,62.7,58.0,6221,6.31,6.36,3.97
4905,0.92,60.9,63.0,3723,6.27,6.34,3.84
15112,1.0,61.5,62.0,6073,6.37,6.42,3.93
6151,0.93,62.1,55.0,3990,6.27,6.29,3.9
40383,0.53,63.7,55.0,1132,5.12,5.15,3.27
37410,0.38,61.6,58.0,983,4.7,4.65,2.88
40277,0.31,62.1,54.0,493,4.34,4.36,2.7
19785,1.51,68.3,57.0,8355,6.95,6.87,4.72
49296,0.3,62.2,54.0,539,4.29,4.33,2.68
31625,0.3,61.3,58.0,450,4.3,4.34,2.65
48371,0.74,61.7,56.0,1963,5.81,5.85,3.6
49492,0.56,61.8,56.0,2117,5.33,5.28,3.28
39030,0.36,60.9,55.0,1056,4.64,4.68,2.84
10638,1.07,58.1,60.0,4832,6.72,6.78,3.92
35349,0.42,62.0,59.0,898,4.79,4.76,2.96
14683,1.29,60.1,58.0,5924,7.02,6.95,4.2
22574,1.52,59.8,60.0,10623,7.5,7.42,4.46
45134,0.56,59.8,62.0,1653,5.36,5.31,3.19
18001,1.0,61.0,58.0,7280,6.46,6.42,3.93
43098,0.57,64.6,59.0,1383,5.22,5.18,3.36
44311,0.3,62.5,59.0,520,4.26,4.22,2.65
