Unnamed: 0,carat,cut,color,clarity,depth,table,price,x,y,z
23861,2.03,Ideal,J,SI2,63.2,55.0,11951,7.99,8.03,5.06
51071,0.71,Very Good,F,SI1,61.1,57.0,2333,5.71,5.74,3.5
16037,0.3,Premium,I,VS1,61.6,60.0,608,4.3,4.27,2.64
38403,0.35,Premium,H,VVS1,60.6,60.0,1024,4.57,4.51,2.75
34046,0.46,Ideal,J,VS1,62.6,53.9,851,4.92,4.95,3.09
53688,0.74,Ideal,I,VVS1,62.3,55.0,2715,5.77,5.82,3.61
51058,0.71,Ideal,F,SI2,59.3,57.0,2331,5.86,5.81,3.46
53544,0.76,Ideal,H,VS2,62.7,57.0,2692,5.86,5.82,3.66
23953,1.61,Ideal,F,SI1,62.6,58.0,12085,7.44,7.48,4.67
26074,1.55,Ideal,E,VS2,61.9,58.0,15293,7.39,7.45,4.59
1794,0.77,Ideal,F,VS2,61.2,57.0,3052,5.93,5.97,3.64
5797,1.01,Very Good,J,SI2,62.8,59.0,3906,6.34,6.37,3.99
25914,2.07,Premium,I,SI2,60.5,60.0,15055,8.32,8.27,5.02
27893,0.32,Ideal,I,IF,61.6,56.0,655,4.4,4.43,2.72
18181,1.0,Ideal,E,VS2,61.3,58.0,7370,6.41,6.44,3.94
8422,1.05,Ideal,J,SI1,61.7,55.0,4405,6.54,6.56,4.04
43700,0.5,Good,D,SI1,63.6,58.0,1436,5.05,5.08,3.22
11469,1.13,Premium,E,SI1,62.7,57.0,5012,6.65,6.62,4.16
20879,1.57,Ideal,I,SI1,62.0,59.0,9095,7.41,7.45,4.61
38103,0.36,Ideal,E,VS2,61.9,56.0,1013,4.56,4.55,2.82
50205,0.8,Premium,J,SI1,60.1,57.0,2227,6.03,5.98,3.61
53333,0.72,Very Good,E,SI2,59.7,59.0,2655,5.77,5.82,3.46
38696,0.37,Premium,E,VS2,58.9,61.0,1041,4.68,4.66,2.75
36888,0.35,Ideal,G,IF,60.7,57.0,959,4.59,4.61,2.79
19956,1.21,Premium,G,VS2,61.0,58.0,8504,6.88,6.82,4.18
33384,0.41,Ideal,G,VS2,62.2,57.0,827,4.71,4.74,2.94
49218,1.06,Very Good,G,I1,60.7,63.0,2080,6.59,6.56,3.99
31111,0.31,Very Good,F,VVS2,62.0,56.0,754,4.36,4.39,2.71
50900,0.56,Ideal,F,VS2,62.7,55.0,2318,5.32,5.27,3.32
40348,0.43,Premium,I,IF,61.2,58.0,1129,4.88,4.83,2.97
29485,0.4,Very Good,G,SI1,62.8,60.0,702,4.66,4.7,2.94
31278,0.32,Premium,I,VS2,62.2,59.0,449,4.35,4.37,2.71
948,0.7,Very Good,F,VS1,62.2,58.0,2889,5.64,5.75,3.54
2672,0.7,Ideal,E,VVS2,62.8,56.0,3238,5.68,5.6,3.54
6021,1.0,Fair,G,SI1,68.3,61.0,3965,6.02,5.93,4.08
14044,0.38,Ideal,J,VS1,62.2,55.7,605,4.63,4.65,2.89
34738,0.37,Ideal,D,VS2,61.3,56.0,876,4.6,4.64,2.83
12541,1.2,Ideal,E,SI2,61.3,56.0,5268,6.8,6.71,4.14
43957,0.31,Ideal,F,SI1,60.5,57.0,516,4.4,4.43,2.67
49045,0.7,Premium,G,SI2,61.8,61.0,2056,5.66,5.63,3.49
48545,0.52,Ideal,I,IF,60.2,56.0,1988,5.23,5.27,3.16
1731,0.32,Premium,H,VS1,61.7,58.0,561,4.38,4.44,2.72
20062,0.31,Very Good,G,VS1,63.0,57.0,625,4.28,4.32,2.71
23601,1.61,Very Good,H,VS2,59.4,58.0,11627,7.64,7.74,4.57
11543,1.21,Good,J,VVS2,63.7,56.0,5028,6.71,6.67,4.26
17020,1.01,Ideal,G,VS1,62.4,56.0,6794,6.44,6.39,4.0
1587,0.82,Premium,H,VS1,62.5,59.0,3008,5.96,5.94,3.72
42085,0.55,Premium,E,SI2,61.9,58.0,1273,5.24,5.2,3.23
44033,0.72,Good,J,SI1,60.1,64.0,1547,5.75,5.83,3.48
29461,0.32,Ideal,E,VS2,62.2,56.0,702,4.37,4.41,2.73
49938,0.7,Ideal,I,SI1,62.6,56.0,2187,5.66,5.69,3.55
41009,0.58,Ideal,H,SI1,61.6,57.0,1184,5.34,5.38,3.3
4320,0.9,Good,E,SI2,65.8,60.0,3595,5.94,5.97,3.92
2074,0.76,Premium,E,VS2,60.3,60.0,3107,5.97,5.94,3.59
42110,0.34,Ideal,F,IF,61.7,55.0,1276,4.49,4.52,2.78
52222,0.71,Premium,F,SI2,61.6,59.0,2482,5.75,5.71,3.53
20150,1.5,Premium,J,VVS2,61.8,60.0,8603,7.33,7.36,4.54
17271,1.02,Very Good,E,VS2,60.0,59.0,6915,6.54,6.59,3.94
19492,1.52,Premium,H,SI2,58.7,62.0,8127,7.6,7.53,4.44
15117,1.01,Premium,D,SI1,61.8,58.0,6075,6.42,6.37,3.95
41272,0.28,Ideal,I,VS2,62.4,56.0,503,4.19,4.22,2.62
43291,0.5,Ideal,H,VS2,62.3,58.0,1400,5.12,5.05,3.17
4632,0.7,Very Good,D,VS2,60.6,60.0,3668,5.71,5.75,3.47
9613,1.02,Very Good,D,SI2,60.3,58.0,4633,6.48,6.52,3.92
2479,0.73,Ideal,F,VVS2,62.2,54.0,3193,5.8,5.75,3.59
3436,0.91,Very Good,G,SI2,62.0,58.0,3387,6.13,6.2,3.82
23185,1.61,Ideal,G,SI1,61.2,55.0,11192,7.57,7.62,4.65
13454,1.08,Very Good,H,VS2,58.1,62.0,5524,6.72,6.74,3.91
49835,0.72,Very Good,H,SI1,63.7,57.0,2168,5.66,5.7,3.62
51257,0.54,Ideal,F,VVS1,60.8,56.0,2356,5.28,5.34,3.23
950,0.71,Very Good,F,VS1,62.8,56.0,2889,5.69,5.72,3.58
38164,0.34,Ideal,E,VVS1,61.9,56.0,1014,4.47,4.51,2.78
51423,0.57,Ideal,E,VVS2,62.5,54.0,2372,5.35,5.28,3.32
17769,1.59,Ideal,J,SI2,62.1,54.0,7155,7.51,7.44,4.64
29248,0.38,Ideal,H,SI1,61.2,56.0,697,4.7,4.74,2.89
26912,1.54,Premium,D,VS2,62.7,59.0,16921,7.33,7.29,4.58
1968,0.73,Ideal,G,SI1,61.7,57.0,3089,5.78,5.81,3.57
3939,0.83,Ideal,F,SI1,61.7,57.0,3500,6.04,6.08,3.74
30228,0.33,Ideal,E,VS2,62.6,57.0,723,4.37,4.42,2.75
30096,0.32,Premium,H,VS1,61.7,58.0,720,4.44,4.38,2.72
38513,0.46,Very Good,E,SI1,59.3,63.0,1032,5.09,5.02,3.0
23261,1.24,Very Good,F,VVS2,63.6,56.0,11268,6.75,6.8,4.31
491,0.72,Premium,E,VS2,62.4,59.0,2822,5.77,5.7,3.58
52340,0.7,Very Good,H,VS2,62.9,57.0,2498,5.6,5.66,3.54
19832,1.5,Premium,F,SI1,60.0,60.0,8400,7.48,7.42,4.47
32829,0.35,Ideal,F,VVS2,61.3,55.0,806,4.57,4.6,2.81
52584,0.97,Fair,J,SI2,60.8,67.0,2538,6.41,6.32,3.87
10331,1.12,Good,I,VS2,63.8,55.0,4766,6.57,6.63,4.21
342,0.91,Ideal,D,SI2,62.2,57.0,2803,6.21,6.15,3.85
214,0.74,Ideal,G,VS1,61.5,55.0,2780,5.81,5.86,3.59
29606,0.35,Ideal,F,VS2,61.4,54.0,706,4.54,4.58,2.8
52702,0.76,Ideal,G,SI2,61.7,55.0,2553,5.87,5.9,3.63
36197,0.4,Ideal,E,VS1,60.1,57.0,931,4.77,4.82,2.88
7760,1.03,Ideal,J,VS2,61.6,57.0,4283,6.52,6.47,4.0
45024,0.54,Ideal,H,VS1,61.5,56.0,1637,5.24,5.23,3.22
22999,1.13,Ideal,F,VVS1,61.7,56.0,11051,6.68,6.75,4.14
53581,0.74,Very Good,F,SI1,61.7,55.0,2698,5.83,5.87,3.61
14266,1.02,Very Good,D,SI1,63.3,60.0,5778,6.33,6.38,4.02
29696,0.31,Premium,G,VVS2,60.5,58.0,707,4.39,4.43,2.67
19036,0.3,Ideal,E,VS2,61.3,58.0,621,4.3,4.32,2.64
40914,0.42,Ideal,G,VVS1,61.4,56.0,1179,4.81,4.83,2.96
15643,1.6,Fair,F,SI2,65.0,56.0,6272,7.35,7.26,4.8
8600,1.03,Premium,I,SI1,61.6,59.0,4441,6.49,6.46,3.99
43369,0.5,Ideal,H,VS2,62.6,52.0,1408,5.06,5.09,3.18
26730,0.32,Premium,G,VS1,61.0,59.0,645,4.39,4.43,2.69
48812,0.76,Ideal,J,VS2,61.7,56.0,2026,5.85,5.88,3.62
46588,0.55,Very Good,E,VS2,61.5,56.0,1786,5.25,5.28,3.24
37818,0.41,Good,E,VVS1,63.5,57.0,1002,4.73,4.75,3.01
29449,0.34,Ideal,E,VS1,62.8,56.0,702,4.46,4.49,2.81
4743,0.9,Very Good,G,SI1,63.0,57.0,3681,6.13,6.19,3.88
24379,0.31,Ideal,E,VS1,60.1,55.0,638,4.42,4.53,2.69
39504,0.54,Very Good,J,SI1,61.3,55.0,1080,5.23,5.28,3.22
2697,0.9,Good,G,SI2,63.8,56.0,3246,6.16,6.13,3.92
598,0.7,Premium,F,VS2,62.3,58.0,2838,5.72,5.64,3.54
44728,0.51,Very Good,D,VS1,58.8,60.0,1616,5.18,5.26,3.07
27417,2.51,Premium,J,VS2,62.2,58.0,18020,8.73,8.67,5.41
43133,0.52,Good,E,SI1,63.7,54.0,1388,5.12,5.15,3.27
51051,0.61,Ideal,G,VVS2,62.4,53.8,2331,5.42,5.45,3.39
3970,0.9,Very Good,E,SI1,63.5,55.0,3508,6.22,6.12,3.92
19085,1.07,Ideal,G,VS1,62.1,57.0,7858,6.48,6.57,4.05
36607,0.32,Very Good,G,SI1,63.0,56.0,477,4.35,4.38,2.75
43656,0.62,Fair,E,SI2,58.2,60.0,1435,5.7,5.51,3.26
10405,0.31,Good,D,SI2,63.7,58.0,593,4.3,4.27,2.73
47920,0.7,Fair,G,SI1,68.4,58.0,1915,5.59,5.55,3.61
43294,0.55,Very Good,D,SI2,59.7,64.0,1401,5.26,5.32,3.16
10206,0.9,Ideal,H,SI1,61.6,56.0,4740,6.17,6.23,3.82
30695,0.4,Very Good,F,SI1,62.3,57.0,737,4.67,4.74,2.93
35474,0.39,Ideal,G,VVS2,61.9,56.0,902,4.68,4.7,2.9
51874,0.7,Good,H,VVS2,63.7,54.0,2427,5.72,5.62,3.61
36324,0.32,Ideal,G,VVS2,62.0,55.0,936,4.44,4.4,2.74
30007,0.43,Very Good,E,SI2,62.7,55.0,716,4.83,4.87,3.04
45692,0.53,Ideal,F,VS1,60.7,55.0,1697,5.32,5.25,3.21
26618,1.51,Ideal,F,VS1,62.1,56.0,16370,7.34,7.38,4.57
34841,0.3,Ideal,G,VVS2,60.9,57.0,878,4.35,4.32,2.64
9602,1.01,Very Good,F,SI1,63.5,58.0,4632,6.29,6.24,3.98
28407,0.35,Premium,G,SI1,60.3,60.0,669,4.59,4.57,2.76
26020,0.31,Ideal,G,VS1,60.8,57.0,645,4.39,4.42,2.68
21121,1.51,Very Good,I,SI1,61.6,58.0,9283,7.35,7.3,4.51
15136,1.2,Very Good,F,SI2,62.8,55.0,6085,6.74,6.8,4.25
7078,0.33,Premium,H,VS1,61.9,58.0,579,4.43,4.45,2.75
44929,0.51,Ideal,F,VS1,61.8,54.0,1632,5.15,5.18,3.19
33768,0.32,Very Good,D,VVS2,61.9,54.0,841,4.43,4.46,2.75
20908,1.79,Good,G,SI2,57.8,59.0,9122,8.07,7.94,4.63
37055,0.33,Ideal,G,IF,61.7,58.0,968,4.42,4.46,2.74
27540,2.02,Ideal,G,SI2,62.0,55.0,18296,8.16,8.1,5.04
2153,0.73,Ideal,G,VVS2,62.2,55.0,3127,5.77,5.74,3.58
43567,0.51,Ideal,D,SI1,61.5,56.0,1431,5.15,5.16,3.17
11318,1.01,Good,E,SI1,63.3,58.0,4986,6.37,6.39,4.04
25138,2.29,Fair,J,VS2,57.0,66.0,13701,8.8,8.6,4.98
27550,2.02,Ideal,I,VS1,62.1,56.0,18324,8.13,8.09,5.04
48829,0.71,Good,G,VS2,63.5,59.0,2029,5.63,5.67,3.59
41925,0.4,Ideal,F,VVS1,62.5,57.0,1263,4.72,4.75,2.96
13264,1.11,Premium,F,SI1,60.1,61.0,5483,6.74,6.64,4.06
197,0.7,Premium,E,SI1,61.0,57.0,2777,5.73,5.68,3.48
38204,0.43,Premium,H,VS2,61.9,55.0,1016,4.95,4.8,3.02
29940,0.29,Ideal,F,VVS2,61.1,58.0,715,4.26,4.28,2.61
23608,1.56,Ideal,H,VS2,61.5,56.0,11636,7.5,7.46,4.6
30237,0.33,Ideal,E,VS2,61.9,56.0,723,4.43,4.46,2.75
48236,0.56,Ideal,F,VS2,61.8,55.0,1950,5.3,5.34,3.29
48428,0.57,Ideal,G,VS1,61.4,55.0,1972,5.34,5.38,3.29
1831,0.9,Good,G,SI2,63.6,57.0,3060,6.1,6.04,3.86
26078,1.02,Very Good,D,IF,62.7,57.0,15306,6.36,6.46,4.02
43572,0.41,Ideal,G,IF,62.4,54.0,1431,4.78,4.74,2.97
4488,0.71,Very Good,F,VVS1,62.7,58.0,3626,5.67,5.72,3.57
16139,1.01,Good,D,VS2,64.5,58.0,6449,6.27,6.31,4.06
42474,0.5,Ideal,F,SI1,61.3,56.0,1317,5.13,5.09,3.13
40797,0.5,Good,D,SI1,63.5,57.0,1169,5.05,5.09,3.22
9782,0.86,Very Good,E,VS2,62.3,56.0,4665,6.05,6.08,3.78
31685,0.26,Premium,E,VVS1,62.9,58.0,769,4.08,4.06,2.56
41399,0.42,Ideal,F,VVS1,61.5,56.0,1223,4.85,4.87,2.99
44206,0.61,Ideal,J,VS1,61.1,56.0,1569,5.44,5.49,3.33
12530,1.04,Very Good,D,SI2,62.9,58.0,5265,6.41,6.47,4.05
26208,1.53,Ideal,F,VS1,61.5,59.0,15592,7.38,7.46,4.56
19567,1.52,Very Good,H,SI2,62.7,57.0,8194,7.32,7.36,4.6
18800,1.61,Very Good,J,SI1,61.7,60.0,7695,7.45,7.5,4.61
52292,0.25,Very Good,D,VVS2,62.1,57.0,548,4.02,4.07,2.51
53622,0.35,Premium,I,VS1,61.1,60.0,552,4.52,4.58,2.78
27852,0.31,Ideal,G,VS2,61.8,53.0,652,4.35,4.39,2.7
11886,1.06,Premium,G,SI1,62.2,57.0,5113,6.53,6.47,4.04
5171,0.91,Ideal,E,SI2,62.6,57.0,3772,6.13,6.18,3.85
44777,0.56,Ideal,I,VVS1,61.1,55.0,1622,5.33,5.35,3.26
492,0.7,Premium,E,VS2,60.2,60.0,2822,5.73,5.7,3.44
7423,0.71,Very Good,E,VVS1,62.8,59.0,4228,5.66,5.71,3.57
15255,1.24,Premium,F,SI1,61.4,62.0,6125,6.94,6.88,4.24
18596,1.03,Ideal,G,VS1,61.7,56.0,7587,6.47,6.53,4.01
50612,0.27,Premium,G,VS2,62.4,59.0,397,4.11,4.13,2.57
7705,0.9,Fair,D,VS2,57.4,65.0,4277,6.26,6.29,3.6
10626,1.0,Very Good,H,SI1,62.8,56.0,4830,6.33,6.37,3.99
36368,0.39,Ideal,F,VS1,61.7,56.1,939,4.65,4.7,2.89
10035,0.24,Very Good,F,VS1,62.0,56.0,417,3.94,3.99,2.46
24419,1.64,Premium,F,SI1,62.8,59.0,12670,7.53,7.51,4.72
44125,0.5,Premium,G,VS1,60.0,59.0,1559,5.12,5.18,3.09
40256,0.3,Ideal,E,VVS2,61.4,55.0,1125,4.36,4.34,2.67
15446,1.53,Premium,G,I1,62.8,58.0,6183,7.39,7.28,4.61
30711,0.33,Ideal,E,VS2,61.3,55.0,738,4.46,4.5,2.75
14429,1.19,Good,F,SI1,57.6,60.0,5825,6.98,7.02,4.03
42910,0.55,Premium,H,VS2,62.1,58.0,1363,5.24,5.29,3.27
41697,0.54,Very Good,G,SI1,62.2,57.0,1241,5.17,5.22,3.23
36845,0.37,Premium,F,VS2,59.8,59.0,957,4.66,4.63,2.78
53103,0.7,Ideal,E,SI1,60.6,57.0,2614,5.76,5.79,3.5
21449,2.0,Fair,H,SI2,68.7,55.0,9549,7.9,7.67,5.35
10008,0.9,Very Good,E,VS2,62.2,56.0,4707,6.12,6.17,3.82
43379,0.55,Premium,F,SI1,60.2,58.0,1410,5.31,5.35,3.21
35682,0.32,Ideal,D,VVS1,61.8,56.0,910,4.37,4.4,2.71
41257,0.38,Premium,I,SI2,60.0,59.0,500,4.69,4.71,2.82
22225,1.63,Ideal,D,SI2,59.4,59.0,10281,7.73,7.67,4.57
18574,1.07,Ideal,G,VS2,61.6,57.0,7577,6.55,6.61,4.05
5465,1.0,Good,J,VS2,62.0,61.0,3835,6.36,6.45,3.97
27446,2.01,Very Good,G,SI1,59.1,57.0,18077,8.16,8.23,4.84
12864,1.25,Very Good,H,SI2,62.7,57.0,5362,6.82,6.86,4.29
28113,0.36,Good,D,SI1,63.4,57.0,663,4.55,4.57,2.89
41514,0.44,Ideal,G,VVS1,61.8,55.0,1235,4.86,4.91,3.02
43537,0.51,Ideal,G,VS2,61.6,56.0,1427,5.13,5.18,3.18
32157,0.28,Ideal,E,VVS2,60.8,55.0,787,4.26,4.29,2.6
30382,0.34,Very Good,F,VS2,61.5,58.2,730,4.49,4.51,2.77
5086,0.9,Good,G,SI1,60.0,61.0,3752,6.19,6.22,3.72
35193,0.31,Ideal,G,IF,62.1,54.0,891,4.35,4.38,2.71
52878,0.74,Very Good,F,SI1,61.5,58.0,2583,5.82,5.85,3.59
12370,0.26,Ideal,E,VVS2,61.6,57.0,597,4.13,4.18,2.56
151,0.71,Premium,D,SI2,61.7,59.0,2768,5.71,5.67,3.51
51617,0.58,Ideal,F,VVS2,61.8,56.0,2395,5.36,5.39,3.32
4681,0.73,Ideal,D,VS2,62.3,54.0,3673,5.77,5.8,3.6
52171,0.5,Ideal,D,VVS2,62.5,53.0,2475,5.05,5.13,3.18
32777,0.34,Premium,D,SI1,62.4,58.0,803,4.46,4.42,2.77
22112,1.24,Ideal,F,VS1,61.5,54.0,10138,6.93,6.89,4.25
24062,1.56,Very Good,F,SI1,61.0,58.0,12207,7.41,7.48,4.54
49002,0.67,Premium,G,VS2,61.0,57.0,2050,5.68,5.63,3.45
37293,0.52,Good,I,SI1,63.6,60.0,978,5.05,5.1,3.23
2549,0.83,Ideal,D,SI2,62.1,56.0,3207,6.0,6.04,3.74
34114,0.35,Ideal,G,VVS1,61.8,54.5,853,4.54,4.58,2.82
50762,0.79,Very Good,J,VS2,60.8,56.0,2300,5.98,6.02,3.65
29594,0.32,Good,D,SI1,63.7,55.0,706,4.33,4.31,2.75
18498,1.04,Very Good,F,VS1,63.2,57.0,7534,6.44,6.41,4.06
12447,1.3,Premium,I,VS2,60.3,60.0,5242,7.01,6.99,4.22
47298,0.3,Very Good,I,SI1,62.2,57.0,394,4.25,4.27,2.65
20926,1.2,Premium,E,VS2,63.0,58.0,9139,6.75,6.71,4.24
53589,0.7,Ideal,G,SI1,62.0,56.0,2699,5.66,5.69,3.52
49642,0.32,Premium,F,SI2,59.7,59.0,540,4.48,4.43,2.66
43660,0.57,Ideal,E,SI1,61.5,56.0,1436,5.32,5.35,3.28
49670,0.7,Good,I,SI1,63.8,57.0,2142,5.66,5.63,3.6
19562,1.5,Good,G,SI2,64.3,57.0,8190,7.29,7.2,4.66
46369,0.54,Premium,G,VS1,61.1,60.0,1760,5.28,5.23,3.21
35823,0.31,Ideal,F,IF,60.9,56.0,914,4.37,4.4,2.67
34177,0.33,Premium,G,VS1,62.3,58.0,854,4.45,4.41,2.76
50034,0.72,Very Good,H,SI1,63.0,58.0,2198,5.68,5.71,3.59
51031,0.71,Ideal,E,SI1,61.5,57.0,2329,5.78,5.74,3.54
39187,0.5,Premium,F,SI1,61.2,59.0,1063,5.13,5.1,3.13
38734,0.4,Ideal,G,VVS1,62.4,54.0,1043,4.73,4.76,2.96
22042,0.31,Ideal,I,VS1,62.8,55.0,628,4.35,4.31,2.72
1124,0.72,Ideal,I,VS2,61.8,55.0,2918,5.75,5.79,3.56
49459,0.6,Very Good,E,VS1,60.9,58.0,2112,5.43,5.48,3.32
16170,1.34,Very Good,G,SI2,62.2,56.0,6463,7.0,7.08,4.38
23101,2.09,Ideal,G,SI2,62.5,57.0,11119,8.21,8.14,5.11
11619,1.01,Very Good,G,SI1,62.8,56.0,5049,6.35,6.43,4.01
1785,0.62,Very Good,D,VVS2,58.1,63.0,3050,5.59,5.66,3.27
43849,0.5,Good,F,VS2,62.8,61.0,1447,4.94,5.0,3.12
50062,0.71,Very Good,I,VS1,63.1,57.0,2202,5.68,5.58,3.55
41331,0.5,Good,H,VVS2,66.1,58.0,1214,4.87,4.9,3.23
23747,1.5,Premium,E,SI1,60.0,58.0,11795,7.5,7.47,4.49
20805,1.08,Ideal,G,IF,61.3,57.0,9035,6.62,6.59,4.05
47461,0.53,Ideal,D,VS2,61.4,56.0,1857,5.2,5.23,3.2
27955,0.27,Ideal,I,VS1,62.5,54.0,432,4.16,4.19,2.61
41297,0.34,Ideal,D,VVS1,61.5,56.0,1211,4.5,4.47,2.76
29308,0.25,Ideal,G,VS1,62.6,53.0,438,4.01,4.07,2.53
7284,1.25,Premium,J,SI1,62.0,61.0,4200,6.86,6.84,4.25
47418,0.57,Premium,E,VS2,61.4,58.0,1851,5.32,5.37,3.28
10802,1.06,Premium,F,SI1,62.4,58.0,4862,6.56,6.51,4.07
31884,0.3,Ideal,G,VS1,59.9,56.0,776,4.41,4.37,2.63
49618,0.72,Ideal,G,SI2,62.1,59.0,2139,5.71,5.76,3.56
19440,1.54,Ideal,I,SI2,60.3,59.0,8092,7.43,7.46,4.49
29490,0.4,Ideal,G,SI1,60.2,56.0,702,4.77,4.83,2.89
1347,0.72,Ideal,E,VS2,62.0,56.0,2962,5.73,5.76,3.56
47642,0.23,Very Good,D,VVS1,63.3,58.0,530,3.9,3.93,2.48
44968,0.53,Very Good,D,SI1,63.4,58.0,1636,5.15,5.11,3.25
37331,0.33,Very Good,F,VVS1,63.3,57.0,980,4.44,4.38,2.79
34658,0.31,Ideal,E,VS2,61.6,56.0,872,4.38,4.32,2.68
19868,1.4,Premium,D,SI2,61.8,54.0,8419,7.21,7.16,4.44
9858,1.02,Premium,F,SI1,63.0,58.0,4678,6.4,6.36,4.02
3525,0.71,Ideal,D,VS1,61.3,56.0,3406,5.75,5.77,3.53
1179,0.7,Ideal,E,VS1,62.3,54.0,2930,5.67,5.72,3.55
4384,0.31,Very Good,D,SI1,62.9,57.0,571,4.27,4.32,2.7
51358,0.7,Premium,H,VS1,60.5,58.0,2364,5.77,5.73,3.48
22737,1.15,Ideal,F,VVS2,62.7,57.0,10757,6.69,6.65,4.18
19962,1.4,Premium,G,SI1,62.5,58.0,8511,7.12,7.06,4.43
40796,0.41,Very Good,F,VVS1,63.7,54.0,1169,4.71,4.74,3.01
13674,1.1,Ideal,F,SI2,62.4,56.0,5596,6.58,6.62,4.12
20796,1.25,Ideal,G,VS2,62.4,55.0,9030,6.93,6.86,4.3
43670,0.5,Good,F,VS2,63.3,57.0,1436,5.02,5.06,3.19
41730,0.41,Ideal,E,VVS2,61.4,56.0,1243,4.81,4.77,2.94
23081,2.0,Premium,H,SI2,61.4,59.0,11108,8.07,8.0,4.93
52979,0.3,Premium,D,SI1,59.7,59.0,552,4.34,4.37,2.6
34983,0.34,Premium,F,VS2,62.9,58.0,880,4.46,4.44,2.8
37450,0.34,Ideal,G,IF,62.2,56.0,984,4.45,4.46,2.77
50083,0.63,Ideal,E,VS2,62.1,56.0,2205,5.49,5.52,3.42
